ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month
155;30000;2;3;2;26;9014;10406;11427;11935;13084;14206;1700;1500;1000;1500;1500;1500;0
156;140000;1;1;1;34;23944;28049;32073;43129;47086;48699;5000;5000;11885;5000;3000;5504;0
157;200000;2;1;2;37;105420;102870;89643;90938;92505;94031;4000;3250;3250;3500;3560;5000;0
158;200000;2;3;2;30;196031;196143;189524;167163;146975;122324;7300;7108;7680;6200;5000;4500;0
159;210000;1;3;1;45;115785;122904;129847;137277;145533;154105;10478;10478;11078;11078;11678;10478;1
165;60000;2;2;1;46;21148;23803;24908;26034;26655;27756;3000;1500;1500;1000;1500;1500;0
166;110000;2;1;2;27;101640;104795;104855;74737;76058;77254;5500;3900;3000;2900;3000;2800;0
167;370000;1;1;2;50;6093;15130;8204;15398;4792;13453;15383;8204;15413;4792;13453;4699;0
170;50000;2;2;2;22;28040;29092;29366;27737;28318;28806;1510;1442;982;1017;1277;567;0
171;270000;1;2;2;37;37695;33397;30534;27598;26344;24641;5000;2000;3000;4000;3000;2000;0
179;20000;2;2;2;22;16001;12622;13221;13130;14034;14906;1212;1201;500;1500;1500;1000;0
182;80000;2;3;2;35;49608;12412;14873;17364;17770;17460;12500;6500;3000;2000;3000;2000;0
183;500000;2;1;1;47;56422;110616;110340;122967;108834;70064;70010;30357;30000;20000;52183;20000;0
184;60000;2;2;1;24;58024;57891;48839;18971;19323;19395;2500;1600;3000;1000;737;2000;1
187;360000;2;1;2;32;2616;57077;5287;68445;13881;16240;57087;5295;68454;13889;16250;38313;0
191;310000;1;1;2;32;59901;62147;62102;65875;60387;43328;10020;6031;10057;5028;5060;4223;0
195;50000;1;2;1;36;47790;18114;18250;-14;72;658;2000;1000;2000;500;1000;20011;0
198;20000;2;1;2;22;18553;19446;19065;8332;18868;19247;1500;1032;541;20000;693;1000;0
199;500000;2;1;1;34;412;138;2299;1251;1206;1151;138;2299;1251;1206;1151;15816;0
203;140000;2;1;2;26;13424;18000;13001;5818;13506;487;10000;13001;5841;13506;487;7004;0
204;120000;1;2;2;26;107314;110578;113736;116000;119131;122135;5000;5000;4152;5000;5000;5000;0
205;360000;2;2;1;48;226430;231878;234192;190211;173557;146511;9100;7300;5800;5600;5600;4100;0
206;20000;1;3;1;43;227;20351;20237;19339;19450;19337;22359;1305;1258;1459;3457;1700;0
209;80000;2;2;2;24;81625;81554;79599;49552;49509;49568;3200;3000;2038;2000;1800;1800;1
213;40000;2;3;1;43;38257;38901;38103;36207;33138;31339;1700;1504;1200;1500;1500;1000;0
218;80000;1;2;2;36;79278;78501;78534;80016;76235;78245;3100;3500;3400;3000;3500;3000;0
219;110000;2;3;0;31;89989;84229;79288;73315;63818;63208;4000;5000;3000;3000;3000;8954;0
222;330000;2;3;2;45;335196;334954;335527;333860;335760;330121;12388;12378;12116;12450;12213;11678;0
223;300000;2;2;2;35;291619;297268;205629;215827;208464;212508;12019;9006;17000;12000;9557;15000;0
224;320000;2;2;2;33;91653;94037;108597;65913;43805;33263;10042;18832;2117;2076;5045;3754;0
226;170000;2;1;2;28;130370;131199;128900;125514;127280;128839;6530;4860;22500;4820;4877;4962;0
228;20000;1;2;1;37;16455;16511;18902;18768;18650;19175;1609;3000;663;676;834;782;0
229;50000;1;2;2;23;49758;48456;44116;21247;20066;18858;2401;2254;2004;704;707;1004;1
231;50000;2;1;2;24;35084;35796;30937;19420;10385;1308;2090;2002;1002;238;1011;389;0
235;60000;2;2;1;33;58203;36367;20934;20694;20175;19421;1506;1298;1000;721;811;599;0
236;80000;1;1;2;35;7988;3977;6848;1719;1378;19942;3983;6853;1719;1378;19942;2418;0
237;150000;2;2;2;27;127402;110050;51547;44384;36900;29497;4500;1745;1566;1208;1077;2529;0
239;240000;2;3;1;50;234205;231669;214642;207642;210375;214694;10116;9150;8008;8000;8009;7714;1
240;140000;2;2;3;41;19346;21708;22940;19068;16409;16383;3000;2000;2198;1000;3000;2399;1
242;50000;1;1;2;39;47174;47974;48630;50803;30789;15874;1800;2000;3000;2000;2000;2000;0
243;50000;2;2;2;27;26655;27724;28676;27990;28790;29399;1800;1750;900;1200;1200;1100;0
247;250000;2;2;1;75;52874;1631;1536;1010;5572;794;1631;1536;1010;5572;794;1184;0
249;330000;1;1;2;25;46140;45781;48139;51137;39450;25358;2504;4007;5056;74;1023;2566;0
250;50000;1;3;1;46;35713;15392;16099;16418;16765;17484;1561;1268;587;611;1000;2000;0
251;50000;2;2;2;26;50867;51486;48869;30115;29527;29998;1710;136;1206;2002;2005;3003;0
253;140000;2;2;2;26;101551;105246;104781;105334;107699;106828;5366;5087;3605;3894;3785;3304;1
254;160000;2;1;2;28;70243;47779;28052;7222;99669;84426;7042;2000;1000;99669;12600;10000;0
255;400000;2;2;2;29;19532;3719;1453;4944;1896;2486;3127;1469;4968;1905;2494;862;0
256;50000;1;2;1;25;27699;28513;29341;29928;29533;28538;1565;1393;980;994;1024;886;0
257;140000;2;2;1;48;1154;1233;862;1355;1130;21361;1233;1075;1355;1130;21361;1347;0
260;220000;1;1;1;48;210380;213522;201852;169115;172169;162402;10000;9020;6000;5500;6000;5500;1
261;510000;2;1;2;29;78331;99414;107686;103776;87265;36739;40010;20094;5000;5001;25365;65000;0
262;50000;1;2;2;29;49276;35100;32563;27823;29130;28309;1602;1400;3000;3130;1062;6318;0
265;80000;2;1;2;37;10115;249;5986;188;1644;16872;258;5995;188;1644;16872;4000;0
269;40000;2;1;2;48;34871;34449;33634;34586;34762;35673;1600;1600;1500;1500;1500;1500;0
271;100000;1;3;2;32;70003;31545;20974;19713;19848;18126;2035;2004;616;2007;1009;2015;0
274;200000;2;2;2;33;11253;12852;14024;14512;16325;11905;2000;1322;2000;2000;1200;3000;0
276;70000;2;2;2;36;68699;69120;68376;30163;14310;15085;4483;12496;3268;3000;3000;2000;0
278;50000;2;1;2;26;1156;316;316;316;316;316;316;316;316;316;316;316;0
279;50000;1;3;1;33;50859;50462;50654;20046;20067;19703;2007;2199;691;707;703;697;0
280;250000;2;2;1;31;103109;102594;97109;99029;100871;101299;4000;4500;5000;4000;5000;4400;0
282;270000;1;2;1;44;127543;109189;92630;69669;44149;43414;10063;5162;10150;44299;43509;31031;0
283;180000;2;3;2;30;163935;153152;147032;122196;103692;70204;7722;6091;3563;3605;3000;3211;0
284;100000;2;1;2;28;53494;52656;52600;52336;55831;56265;4173;3000;2025;5000;3000;3000;0
285;230000;2;3;1;32;195126;88743;92195;94814;98182;98457;5000;5000;5000;5000;4000;5000;0
286;210000;2;1;1;46;110346;41986;21874;20076;16171;586;41986;21874;20076;16171;586;19777;0
287;210000;1;1;2;38;60502;62804;62769;62683;63663;46549;3276;2026;2000;2000;2000;2502;0
288;440000;2;2;1;46;180641;181557;149944;113135;105280;97622;8610;6907;3727;3800;4001;2701;0
289;100000;2;2;2;25;70896;71678;70125;69856;69718;51365;3472;2092;2000;2127;1960;1559;1
290;240000;2;2;1;46;8751;9900;10605;10765;11765;4311;1295;1000;1000;1000;1000;1000;0
296;200000;1;1;2;31;194353;197344;186292;133345;133634;133990;9000;7465;4715;4804;5141;5300;0
298;210000;2;2;1;36;143225;142996;144415;148190;147993;131629;6483;5082;6000;5900;4544;4700;0
299;280000;2;1;1;36;58983;60788;63225;29701;30172;30771;2755;3463;1300;1100;1100;2000;0
301;100000;1;2;2;37;99209;98222;67185;66926;66796;64513;3490;2332;2314;2365;2497;2305;0
303;50000;2;3;1;40;49941;51213;12104;12898;13687;14458;2400;1206;1000;1000;1000;1000;0
305;200000;2;1;2;27;871;665;960;4242;4084;7414;665;960;3908;1014;3500;2880;0
309;30000;1;3;1;55;9720;10613;11339;12841;13836;14514;1200;1200;2000;1500;1500;1500;1
311;400000;2;2;1;38;3697;3600;1354;5322;5103;2077;1000;1354;5322;6;2386;9085;0
312;180000;2;2;1;34;143301;146333;147042;127814;130331;132845;7000;5000;5000;4900;5000;5100;0
315;100000;1;1;2;27;55734;52557;33415;28776;17580;6441;1631;1286;200;645;909;200;0
316;60000;1;2;2;23;49507;33282;34312;17277;17808;19346;1970;2000;618;809;2000;616;1
317;110000;2;2;2;36;47819;48947;50330;50894;52175;53652;2200;2500;2000;2100;2500;2200;0
319;50000;2;3;1;46;48522;50955;29516;29742;29898;24883;3754;1;1070;1030;863;654;0
322;340000;2;1;2;27;172180;180140;166281;155628;145645;103263;21105;5461;5000;5849;2732;50000;0
323;50000;1;2;2;24;1399;2441;3865;7476;8384;8085;1070;1500;3666;2477;1306;1000;0
324;230000;2;2;1;28;26361;18826;1100;2100;767;6173;1710;1100;1000;767;6173;1000;1
325;360000;2;2;2;32;93029;94054;91834;95631;100123;100738;10000;7000;10000;10000;10000;10000;0
329;340000;1;2;1;55;50396;44665;8300;2190;24599;7416;44665;8321;2190;24599;7416;77195;0
335;20000;1;1;2;27;20571;19089;19658;19453;19108;18868;1323;1600;830;700;674;376;0
336;190000;2;1;2;28;143464;146943;151905;153538;156664;160361;5795;7408;5645;5753;6370;5865;0
337;260000;2;1;2;30;156882;160246;159988;158114;158762;159108;10000;8000;6000;7000;7000;6000;0
339;50000;2;2;1;31;46512;47716;49675;30929;30078;29170;1974;4406;1061;1073;1046;1047;1
340;120000;2;1;2;34;882;6531;6313;1100;1330;830;6900;5037;1100;1330;3800;2037;0
345;180000;2;1;2;26;145403;138232;130553;105894;108248;106517;5440;5051;3835;4106;4250;4028;0
347;100000;2;2;2;26;1370;4192;4159;3542;1980;3980;4210;4159;1000;1080;2000;1525;0
348;50000;2;2;2;29;47081;49316;50409;45545;39963;41145;3000;2000;2000;2000;2000;2000;1
349;140000;2;2;2;31;138119;137950;140254;139679;141748;142174;6600;6500;5100;5300;6000;5000;0
350;30000;2;2;2;26;17893;19012;20123;20222;20796;19844;1411;1522;621;795;715;1000;1
354;80000;2;2;2;43;77057;78102;58501;51042;19036;19414;3177;2600;3000;1691;695;882;0
356;180000;1;2;1;45;27679;28422;29650;29981;30419;31127;1481;2000;1100;1200;1500;1500;1
357;240000;2;2;2;26;141315;128940;124226;113133;113966;103360;6349;5834;3870;4000;3825;3520;0
358;380000;1;2;2;34;194314;179206;193992;174675;171253;169121;9010;35000;5000;6000;5000;4400;0
359;110000;2;4;2;24;83755;77431;79044;80631;82333;84462;3000;2900;2900;3000;3500;4000;0
360;260000;1;1;1;34;49657;291;51058;2351;34039;291;291;51058;35696;34039;291;291;0
362;320000;2;2;2;30;71305;71151;72029;72849;74374;74610;2589;2568;2570;2661;2781;2500;0
365;230000;2;1;2;35;761;300;399;665;576;613;300;399;665;576;613;520;0
367;50000;2;2;1;61;47166;49396;50476;23319;23171;24774;3000;2237;975;1000;2000;1039;0
372;160000;1;1;2;30;99;2977;15086;8578;13028;21712;2977;15086;9123;13028;29712;50000;0
375;180000;1;1;1;46;173267;174590;175233;106288;28089;178719;8100;5299;3305;5040;160719;7000;0
376;30000;1;3;1;58;19143;20168;21229;21495;21800;22437;1640;1700;915;800;1000;1961;0
378;140000;2;1;2;28;10833;14446;7609;4991;3400;3745;14000;3855;4991;3600;5500;4000;0
379;210000;1;1;2;30;69937;71906;43308;44584;47842;49888;3500;3000;2000;4000;3000;10000;0
380;50000;1;2;2;31;20526;15129;15093;9577;11139;12487;2000;3000;327;3000;3000;5000;1
381;130000;2;2;2;29;89055;90780;70947;72367;73875;75355;4200;2575;2600;2674;2701;5750;0
382;50000;2;2;1;37;1894;3200;3381;3559;1948;2415;1500;400;200;500;500;400;1
383;140000;1;3;1;36;100594;78372;91502;90859;88616;88450;3000;30000;4000;4000;3400;3300;0
386;410000;2;5;1;42;338106;342904;344464;240865;234939;240176;15000;14000;9000;8500;9000;8300;0
388;80000;1;3;1;73;63144;65631;68875;70646;72870;75018;3500;4330;3500;3500;3500;5100;1
389;150000;1;2;1;43;153249;154049;156523;159653;162866;157759;7900;6500;5700;5700;5700;5334;0
392;280000;2;2;1;39;-1312;35918;37297;37154;32581;33316;38621;2000;1130;922;1011;5000;1
393;310000;1;2;1;44;103797;91989;87720;76218;72090;71620;4400;4013;3011;3000;3001;2653;0
394;140000;2;2;2;29;20110;17102;18862;19996;21214;21085;3000;3000;3000;3500;2000;2000;0
396;140000;2;1;2;27;142428;144105;143952;142590;142650;142620;10000;10000;6000;6000;6000;5600;0
399;210000;2;2;1;30;104701;106134;108423;91143;82733;74125;4002;5000;3500;3000;2700;5000;0
401;240000;1;1;2;29;156362;132280;99174;65372;28797;184922;5233;3289;2072;3018;184922;6100;0
402;60000;2;3;3;42;41322;29091;28097;28665;28768;29064;1488;1394;962;1500;2541;2000;0
404;30000;1;2;1;48;27879;28870;27806;25142;25667;26179;1774;1710;1046;1079;1089;2244;0
408;500000;1;1;1;37;507062;491956;430637;376657;356636;303510;325;15296;12137;12312;14113;10526;0
409;320000;2;1;2;27;55607;62893;59001;61565;59508;66541;11404;8232;10450;9697;16477;11341;0
410;280000;1;1;2;31;168382;175646;180650;182672;168399;167983;10000;8000;6371;6217;5947;6288;0
415;480000;2;3;1;41;14867;26665;199960;9033;19371;22593;26734;199982;9033;19371;22593;2000;0
419;50000;1;2;1;48;44338;43048;35639;18753;19091;19548;3629;3332;2000;2000;2000;2500;0
422;440000;2;1;2;29;169661;167199;158520;156977;157963;151936;8071;9021;7013;6013;6028;6010;0
425;490000;2;2;1;30;192586;197967;201666;205798;196698;190306;10000;7143;7306;6303;6429;6000;0
429;70000;1;1;2;27;70119;68536;66601;29401;28949;29795;3600;1646;600;28468;1327;1000;0
430;210000;2;2;2;33;212601;177946;119362;117766;68791;66167;6000;4500;5000;3000;3000;3000;0
431;90000;2;2;2;25;91894;71732;73241;74424;76070;77648;3200;3300;3000;3001;3000;3100;0
432;390000;2;1;2;27;304867;299998;300426;292869;292885;281826;13007;10612;10041;11000;10512;7000;1
433;110000;2;1;2;29;48123;49537;50422;50990;52014;53206;2500;2500;2000;2000;2057;2500;0
434;580000;2;1;1;36;159760;162189;166127;169365;168755;167964;6422;6565;5951;6006;5894;5946;0
438;110000;1;3;1;37;61807;62499;62162;60605;60272;60145;2300;2200;2300;2200;2300;2300;0
439;50000;2;1;1;25;51044;50231;46677;44982;21399;20859;2500;3008;1000;761;800;704;0
440;80000;2;1;2;23;77024;73281;57806;37642;46235;47110;3212;1600;956;40000;1800;1700;1
441;50000;1;2;2;23;350;350;400;1695;12645;12584;350;400;1695;11300;485;2400;0
444;200000;2;1;2;27;122923;124653;126355;114881;117213;124793;5704;5930;4000;4003;10033;4400;0
445;240000;1;1;2;44;246135;231443;234557;200643;194410;198857;12026;9010;7400;8000;8000;7000;1
446;220000;1;2;2;34;37304;33304;29254;24875;20329;15602;1600;1500;1100;1000;600;500;0
447;160000;2;1;2;28;146433;107604;89902;90983;82255;83988;4500;4400;3000;2400;2500;2500;0
453;260000;1;2;2;37;255691;262736;36638;122388;127402;131074;14000;5022;130000;7000;6000;6000;0
454;200000;2;1;2;26;156786;179;1443;1443;1443;871;179;1443;1443;1443;871;2015;0
455;80000;1;2;2;42;78129;28202;78553;49340;48919;48443;2500;51432;1800;1800;1800;1700;0
456;40000;1;2;2;39;40034;36549;17431;15031;10600;5315;2027;1207;301;212;5315;4987;0
459;230000;2;2;1;41;819;18163;5473;8162;6985;9130;18163;5654;12887;6985;9130;6554;0
461;180000;2;2;1;38;152510;151651;159019;123022;126075;126219;5657;10372;5000;5000;5000;5000;0
462;80000;2;2;1;36;1689;8638;5702;2980;1260;7868;8638;5723;2980;1260;7868;2198;0
463;290000;2;2;2;26;20807;99860;100000;3015;23473;1448;80000;3000;3015;23473;1148;4900;0
464;230000;2;1;2;28;30141;131255;110503;99283;97599;96116;120093;8034;3013;4010;5882;3000;0
466;230000;1;1;1;59;208459;206331;203813;201331;198999;191671;7536;7277;7100;7120;6844;6945;1
467;220000;1;1;2;38;212795;211043;212759;218541;167743;165300;8909;7500;9000;6729;6000;7009;1
468;230000;1;2;2;32;28114;28006;25000;22046;19860;19831;1610;1224;655;627;620;500;0
469;500000;1;2;1;38;59372;49677;49515;42568;48268;51481;10026;7241;50091;25000;5078;2132;0
470;90000;2;1;1;41;6160;3274;6190;307;2870;670;3276;6246;307;2870;670;1362;0
471;390000;2;3;2;35;355215;363325;373181;252195;257496;263018;13802;16525;8893;9229;10000;9435;1
472;400000;2;2;2;41;366193;372700;375948;195991;152127;155182;14020;13595;6243;6007;6061;6012;0
473;180000;1;2;1;34;2927;2790;1140;2144;1180;1382;2790;1140;2144;1180;1382;2440;0
476;60000;2;2;2;29;27199;28358;28937;29614;30391;23159;1900;1400;1000;1100;1000;420;0
477;50000;1;1;2;44;50893;28527;29241;28513;29106;29638;1800;1500;1200;1203;1166;1000;0
484;90000;1;3;1;48;77604;73317;71334;67009;63228;59378;1700;4000;1600;1600;1500;4086;0
485;100000;2;2;1;43;2491;1709;574;556;2306;2562;1709;574;556;2306;2562;2111;0
486;190000;1;2;1;31;177554;180633;172914;130139;115494;117465;7600;6303;4137;3502;4027;3517;0
488;320000;1;2;1;39;93768;91523;91579;91193;92837;95323;3317;3506;4218;5000;6080;938;0
490;260000;2;1;1;34;16426;6088;4663;3885;4414;2514;6277;4663;4140;4414;2646;7725;0
493;260000;1;2;2;30;98560;100980;222102;108724;68500;69174;4000;11900;207;2003;2003;2003;0
495;80000;2;1;1;28;8574;9434;10038;10040;10400;10490;1203;1047;248;408;294;276;1
496;50000;1;1;1;41;508;672;226;390;220;320;1000;390;1000;220;640;1000;0
497;200000;2;3;2;47;203183;202961;194449;196814;200526;198717;7521;7000;7000;7128;8000;7100;0
503;230000;2;6;2;46;221590;227397;230302;186635;189896;193351;10000;9000;8000;8000;7500;7000;0
512;120000;2;2;2;35;240;240;240;240;240;240;240;240;240;240;240;240;1
513;360000;1;1;2;28;20223;52962;3978;1743;2828;50537;53228;3997;1750;2853;51041;3219;0
514;50000;1;2;2;23;29509;30741;31438;31924;32566;33081;2000;1500;1300;1300;1200;1500;1
515;20000;2;2;2;23;18355;20259;19534;16467;15746;13246;2900;10;577;430;1017;4;0
516;100000;1;3;1;56;94265;53376;85787;78762;79529;80335;2385;88678;2169;2634;3132;732;0
517;70000;1;3;1;32;68739;67629;69188;68392;69884;71284;3060;3300;2610;2750;2750;5500;0
518;50000;1;2;1;47;13917;16695;21320;18614;19003;19439;3000;5000;2000;618;679;500;0
520;290000;2;1;1;34;93844;97708;103066;104864;110151;115297;6000;7000;5000;7000;7000;7000;0
521;30000;2;1;1;31;16496;17522;18531;18744;19291;19818;1597;1606;819;1000;1000;1623;0
522;410000;2;2;2;27;-58;32991;36465;44310;62408;61420;33049;16000;8700;18775;15000;5350;0
523;360000;1;1;2;28;1210;820;64644;125984;106584;125557;390;75720;62520;17000;132200;167000;1
524;140000;2;2;1;42;111496;112133;69529;70804;70781;66735;6022;3021;5012;5112;3000;5000;1
525;210000;2;1;2;32;67374;69489;70937;71761;73505;74827;3200;3200;2600;2900;2700;3000;0
531;50000;1;2;2;23;34549;18552;19334;18165;19322;19575;2836;1200;13000;1500;9000;1000;0
532;50000;1;2;3;30;97538;49187;17518;17710;18079;18302;2454;1588;780;803;673;637;0
536;60000;1;2;2;25;480;1675;3630;578;4825;6200;1675;2500;578;4825;2000;2435;0
537;440000;2;1;2;35;330759;337794;274075;252584;216547;179221;13100;11000;10000;9000;7100;5500;0
540;110000;2;2;1;40;92638;90905;95768;97004;99005;101213;600;7300;3700;3700;4000;3800;0
544;100000;2;1;2;24;30092;30486;30178;29735;14718;29427;1553;5000;87;14761;29514;330;0
546;390000;2;1;2;31;50620;43220;44237;46495;47751;51941;5000;3000;3000;2000;5000;5000;0
549;230000;2;1;2;28;2403;7357;9752;12608;10797;20539;7357;2566;3000;1000;10000;2000;0
550;120000;1;1;2;27;52437;50473;45087;35424;31760;31214;5024;5000;5000;4000;5000;3500;0
553;50000;1;1;1;56;50715;51073;28185;28842;30399;29977;2500;1500;1100;2000;1500;1017;1
555;40000;2;2;2;24;35285;36714;37356;38184;38724;37255;2000;1600;1401;1607;1800;1751;0
557;160000;2;1;1;33;5233;5393;1824;350;150;199;5401;1829;350;150;199;1145;0
